date,address,district,event_type,lbs_trash,people_served,bags,summary,comments
7/13/2024,2921 Bonnie View Rd,South Central,clean,,0,0,,
8/10/2024,2921 Bonnie View Rd,South Central,clean,,0,0,,
9/14/2024,2836 Overton Rd,South Central,clean,,0,0,,
10/9/2024,3021 Overton Rd,South Central,clean,,0,0,,
11/9/2024,3623 Bonnie View Rd,South Central,clean,,0,0,,
12/14/2024,3800 Bonnie View Rd,South Central,clean,,0,0,,
01/11/2025,3700 Bonnie View Rd,South Central,clean,,0,0,,
02/08/2025,2921 Bonnieview Rd,South Central,clean,,0,0,,
03/08/2025,2921 Bonnie View Rd,South Central,clean,,0,0,,
6/8/2024,7191 American Way Rd,South West,clean,,0,0,,
7/13/2024,4028 W Camp Wisdom Rd,South West,clean,,0,0,,
8/10/2024,7191 American Way,South West,clean,,0,0,,
9/14/2024,2800 Camp Wisdom Rd,South West,clean,,0,0,,
10/9/2024,7108 Camp Wisdom Rd,South West,clean,,0,0,,
11/9/2024,7191 American Way Rd ,South West,clean,,0,0,,
12/14/2024,2800 Camp Wisdom Rd,South West,clean,,0,0,,
01/11/2025,4028 W Camp Wisdom Rd,South West,clean,,0,0,,
02/08/2025,2800 Camp Wisdom Rd,South West,clean,,0,0,,
03/08/2025,7191 American Way Rd,South West,clean,,0,0,,
6/8/2024,5557 N Jim Miller Rd,South East,clean,,0,0,,
7/13/2024,117 Murdock Rd,South East,clean,,0,0,,
8/10/2024,7949 S Loop 12,South East,clean,,0,0,,
9/14/2024,6100 Samuell Blvd,South East,clean,,0,0,,
10/9/2024,7108 Camp Wisdom Rd,South East,clean,,0,0,,
11/9/2024,5542 N Jim Miller Rd ,South East,clean,,0,0,,
12/14/2024,117 Murdock Rd,South East,clean,,0,0,,
01/11/2025,557 N Jim Miller Rd,South East,clean,,0,0,,
02/08/2025,6100 Samuell Blvd,South East,clean,,0,0,,
03/08/2025,6100 Samuell Blvd,South East,clean,,0,0,,
6/29/2024,3728 Bonnie View Rd,South Central,distribution,0,,,,
6/29/2024,"13999 Goldmark Dr, Dallas TX 75240",North Central ,distribution,0,,,,
6/29/2024,9756 Walnut St,North East,distribution,0,,,,
6/29/2024,"7191 American Way Dallas,TX",South West,distribution,0,,,,
6/29/2024,"6100 Samuell Blvd Dallas,Tx 75228",South East,distribution,0,,,,
6/29/2024,9507 Overlake Dr,North West,distribution,0,,,,
7/27/2024,3728 Bonnie View Rd,South Central,distribution,0,,,,
7/27/2024,"13999 Goldmark Dr, Dallas TX 75240",North Central ,distribution,0,,,,
7/27/2024,9756 Walnut St,North East,distribution,0,,,,
7/27/2024,"7191 American Way Dallas,TX",South West,distribution,0,,,,
7/27/2024,"6100 Samuell Blvd Dallas,Tx 75228",South East,distribution,0,,,,
7/27/2024,9507 Overlake Dr,North West,distribution,0,,,,
8/31/2024,3728 Bonnie View Rd,South Central,distribution,0,,,,
8/31/2024,"13999 Goldmark Dr, Dallas TX 75240",North Central ,distribution,0,,,,
8/31/2024,9756 Walnut St,North East,distribution,0,,,,
8/31/2024,"7191 American Way Dallas,TX",South West,distribution,0,,,,
8/31/2024,"6100 Samuell Blvd Dallas,Tx 75228",South East,distribution,0,,,,
8/31/2024,9507 Overlake Dr,North West,distribution,0,,,,
9/28/2024,3728 Bonnie View Rd,South Central,distribution,0,,,,
9/28/2024,"13999 Goldmark Dr, Dallas TX 75240",North Central ,distribution,0,,,,
9/28/2024,9756 Walnut St,North East,distribution,0,,,,
9/28/2024,"7191 American Way Dallas,TX",South West,distribution,0,,,,
9/28/2024,"6100 Samuell Blvd Dallas,Tx 75228",South East,distribution,0,,,,
9/28/2024,9507 Overlake Dr,North West,distribution,0,,,,
10/30/2024,3728 Bonnie View Rd,South Central,distribution,0,,,,
10/30/2024,"13999 Goldmark Dr, Dallas TX 75240",North Central ,distribution,0,,,,
10/30/2024,9756 Walnut St,North East,distribution,0,,,,
10/30/2024,"7191 American Way Dallas,TX",South West,distribution,0,,,,
10/30/2024,"6100 Samuell Blvd Dallas,Tx 75228",South East,distribution,0,,,,
10/30/2024,9507 Overlake Dr,North West,distribution,0,,,,
11/30/2024,3728 Bonnie View Rd,South Central,distribution,0,,,,
11/30/2024,"13999 Goldmark Dr, Dallas TX 75240",North Central ,distribution,0,,,,
11/30/2024,9756 Walnut St,North East,distribution,0,,,,
11/30/2024,"7191 American Way Dallas,TX",South West,distribution,0,,,,
11/30/2024,"6100 Samuell Blvd Dallas,Tx 75228",South East,distribution,0,,,,
11/30/2024,9507 Overlake Dr,North West,distribution,0,,,,
12/21/2024,3728 Bonnie View Rd,South Central,distribution,0,,,,
12/21/2024,"13999 Goldmark Dr, Dallas TX 75240",North Central ,distribution,0,,,,
12/21/2024,9756 Walnut St,North East,distribution,0,,,,
12/21/2024,"7191 American Way Dallas,TX",South West,distribution,0,,,,
12/21/2024,"6100 Samuell Blvd Dallas,Tx 75228",South East,distribution,0,,,,
12/21/2024,9507 Overlake Dr,North West,distribution,0,,,,
1/25/2025,3728 Bonnie View Rd,South Central,distribution,0,,,,
1/25/2025,"13999 Goldmark Dr, Dallas TX 75240",North Central ,distribution,0,,,,
1/25/2025,9756 Walnut St,North East,distribution,0,,,,
1/25/2025,"7191 American Way Dallas,TX",South West,distribution,0,,,,
1/25/2025,"6100 Samuell Blvd Dallas,Tx 75228",South East,distribution,0,,,,
1/25/2025,9507 Overlake Dr,North West,distribution,0,,,,
2/22/2025,3728 Bonnie View Rd,South Central,distribution,0,,,,
2/22/2025,"13999 Goldmark Dr, Dallas TX 75240",North Central ,distribution,0,,,,
2/22/2025,9756 Walnut St,North East,distribution,0,,,,
2/22/2025,"7191 American Way Dallas,TX",South West,distribution,0,,,,
2/22/2025,"6100 Samuell Blvd Dallas,Tx 75228",South East,distribution,0,,,,
2/22/2025,9507 Overlake Dr,North West,distribution,0,,,,
3/29/2025,3728 Bonnie View Rd,South Central,distribution,0,,,,
3/29/2025,"13999 Goldmark Dr, Dallas TX 75240",North Central ,distribution,0,,,,
3/29/2025,9756 Walnut St,North East,distribution,0,,,,
3/29/2025,"7191 American Way Dallas,TX",South West,distribution,0,,,,
3/29/2025,"6100 Samuell Blvd Dallas,Tx 75228",South East,distribution,0,,,,
3/29/2025,9507 Overlake Dr,North West,distribution,0,,,,
